Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.129371823,3.7122252005602346E-4,0.005206403560500939,0.00922666288420615,
0.131723906,0.004127533097412317,0.004165122848400753,-0.006025804702399995,
0.134075885,0.003302026477929848,-0.00432901933459498,-0.016311274865435266,
0.136428646,0.00647217924394361,-0.005378493008359731,-0.018794716913832943,
0.13878125,0.0051777433951548865,-0.004302794406687783,-0.02652793051348823,
0.141133229,0.007972754267839763,0.004218880597849237,-0.04229015446938433,
0.143485729,0.014039318047355157,0.007205661049763001,-0.0414927986243363,
0.145838281,0.011231454437884127,0.0019339722683267904,-0.03127926087212529,
0.148190573,0.0013240489172239578,0.0034624568454612974,-0.02119345264301309,
0.150543073,-0.004686596468504313,0.002769965476369037,-0.016954762114410826,
0.152895364,8.127790656404371E-5,-0.0016145856805045017,-0.009733090697388036,
0.155247864,-0.003765532756116255,-0.005122228096119452,0.0037056844245118015,
0.157600312,-0.01641937942049207,-0.0040977824768955624,0.014455941582578902,
0.159952344,-0.011220227485826031,-0.0013629454606004648,0.026886866303172496,
0.162304739,0.006346050257738101,8.249226623194932E-4,0.03683160607964808,
0.164656719,-0.00641483397860871,-0.005085898962544001,0.0371259599125473,
0.167008542,-0.016623538387453923,-0.0040687191700352,0.03736296885777257,
0.169360885,-0.009468275628595646,-0.003254975336028157,0.026058893152624663,
0.171713177,-0.0037440624412767853,-6.887027281387813E-4,0.015101417500615,
0.174065573,0.002750590119610409,0.00519487640000469,0.01016615597314896,
0.17641776,0.0022004720956883272,-0.0015899374625119658,-0.0014442541765582462,
0.178769948,0.01325205037123374,0.0025586095817062768,-0.016476753438903202,
0.181122604,0.018262754930070332,0.003962166696164886,-0.022757818766747206,
0.183474948,0.012694924913256404,0.0031697333569319086,-0.02012199598019393,
0.185827344,0.012071218961404992,0.0063663432570291376,-0.021843293805639874,
0.188179948,8.058001512466217E-5,0.0031777970649395637,-0.02705105106013761,
0.1905325,0.00964085916609906,0.006372795713551382,-0.027386537869594108,
0.192885208,0.009627967853795234,0.0031829560499251203,-0.02382420832301868,
0.195237448,4.1256669720605293E-5,-0.005114749793143247,-0.015229410603726734,
0.197589531,3.300533577648215E-5,0.0016540372578849986,-0.008352809488840762,
0.199942187,-0.0018888732720625592,0.0032385073469917425,0.0048099093913496205,
0.202294427,-0.007256934219933522,-0.005070308755489951,0.02300075954432934,
0.204646146,-0.00772082938697892,-0.004056247004391961,0.024145541717494723,
0.206998073,-0.010007218590950627,-0.0013297185727137034,0.026978634301730864,
0.209350156,-0.009921056883792606,-0.004894334409886816,0.03307353854490103,
0.21170276,-0.0021910084146344877,-0.013491861191792662,0.014968199732404486,
0.214054844,-0.001752806731707593,-0.012708768356763028,0.002397380830846174,
0.216406458,-0.005232800466733564,-0.004421177220481794,0.011495083619756485,
0.218758698,-3.556852920193615E-4,2.9361628521429664E-4,0.013026022950493044,
0.221110521,0.005461288858784108,0.005980730120571036,8.444023447697901E-4,
0.223462031,0.002453752056227422,0.00861514215805656,-0.006985153173012293,
0.225814114,0.001963001644981935,0.004976834695645381,-0.00941884153255046,
0.228166458,0.003485680346785411,0.005896746787316172,-0.022857186263149032,
0.230519323,0.0047038247983443165,0.0028021183990530746,-0.037438581041769226,
0.232871875,-0.005813336805439995,-0.0015888633423572739,-0.029950864833415025,
0.235224167,0.0010951676480476027,6.441883569140473E-4,-0.016300016817904606,
0.237577083,0.012367808303237277,0.002430629716331102,-0.009210057399634763,
0.239929427,0.0041484095501902254,0.0019445037730648831,-0.009283023947052271,
0.242281302,-0.004342385502815044,-0.0022749550431478242,-0.007426419157642528,
0.244633698,-0.011135027505683737,-0.003735244555434246,0.007465999683651248,
0.246986042,-0.006992739993514886,-0.004903473185031142,0.013633474795749834,
0.24933875,0.0020669211481553137,-9.222048642518188E-5,0.003246104787772097,
0.251690729,-2.617391320433732E-4,0.0037567816724595887,6.819058028746383E-4,
0.254042396,-0.007870510409066403,0.0030054253379676737,0.019698356673549355,
0.256395156,-0.004381126316221021,-0.0014262177912255924,0.03491151737008913,
0.258747604,0.00415621208999041,-0.0011409742329804747,0.02409849490193139,
0.261099739,0.003324969671992327,-0.006658616478783977,0.007786638939123236,
0.263452083,-0.008831698447205334,-0.011072730275426778,0.0023993550966121546,
0.265803906,-0.0013195216653646702,-0.006942905934599616,0.007665181098774454,
0.26815625,0.01043605685250746,0.004022071151377697,0.008047122906363668,
0.270508646,0.0045182874204062334,0.010878771554185502,-0.00888365177256567,
0.272860521,0.003614629936324984,-0.002788655451334672,-0.0185990784004737,
0.275213177,0.006722262010659723,-0.002230924361067737,-0.022539937769206375,
0.277565364,0.0034625320678440333,0.005876376634345273,-0.016116972188020995,
0.279917187,-0.002975809948008251,0.004701101307476217,-0.0014021837074480459,
0.282269271,-0.0023806479584066037,0.0037608810459809766,-0.003036724993302542,
0.284621146,-0.001904518366725283,0.010669820959984248,0.003315554087389927,
0.286973542,-0.0015236146933802278,0.006620577737187532,-0.003092490812118598,
0.289325885,-0.0012188917547041808,-0.004279932964249302,-0.004389733616491753,
0.291677864,9.401626468042851E-4,4.06611690200287E-4,0.007980370089228472,
0.294030417,-0.0011631459331242003,0.00415584592364384,0.014044971120211969,
0.296382448,-0.004761077788331333,-0.0024211588633684077,0.016981673917653595,
0.298734219,2.169881116690503E-5,-0.009598043213894191,0.017416821067715915,
0.301086198,0.003847914130301014,-0.0038478779996317415,0.013933456854172022,
0.303438229,-7.522237771266788E-4,0.004582815213610189,0.0015695865282605581,
0.305791094,0.0013134970288662812,-1.643058907115809E-4,0.0012556692226084465,
0.308143594,-8.644784274745992E-4,-0.0058772818049688605,0.008665210426915593,
0.310495573,0.0031389723393878133,-0.006617104474774954,0.0031022122868442636,
0.312848125,0.006341735933109986,-0.003378404549020095,-0.00900962421349405,
0.315200312,0.00315811120580424,0.001127834422383657,-0.0014620023493101542,
0.317552292,-0.0032193466376400845,0.006648104630306524,7.453761478952714E-4,
0.319904635,0.001255077771255421,-4.2735338815437854E-4,-0.008979352157854947,
0.322257031,0.004834620278604068,-0.008002998833722966,-0.014844919714565918,
0.324609844,0.0038676962228832573,0.003173996087020955,-0.01570665476579336,
0.326962187,-0.0026516801140929885,0.008285032471900246,-0.014480301839977727,
0.329313802,-2.060650604745265E-4,0.006628025977520199,-0.011584241471982892,
0.331666198,0.005580985044019979,-0.006189251912666914,-0.009267393177585959,
0.334018542,-0.00319632808798348,-0.006866680560933397,-0.009329655508865997,
0.336370625,-0.006387620531986521,-0.0016627878772631048,0.007859151569469702,
0.338723125,-0.005110096425589218,0.004415608280705231,0.025440153286826472,
0.341075573,-2.5751907887164305E-4,0.0035324866245641864,0.014605662668524033,
0.343428385,0.005539821829302287,-0.004835126823548114,0.007853811140678957,
0.345781042,6.012994018420939E-4,-0.005783380489638359,5.373518910580799E-4,
0.348133437,-0.007180076601725788,0.0011191327006889115,-0.005316578448091747,
0.350486667,-0.009574619342980359,0.012386980345350324,-0.004253262758473042,
0.352839531,-0.0019138583819846913,0.0022484681530807946,0.008089546775643441,
0.355192031,3.841953054443542E-4,-0.003947064060051082,0.010302356414655378,
0.357544792,-0.005438480848044117,6.729083036749843E-4,5.812100828972433E-4,
0.359897656,-0.0043507846784352905,5.383266429399881E-4,0.0023799460936615446,
0.362250833,-0.001565351692180604,-0.005315175778047604,-0.009588200107492284,
0.364603542,6.629976770553825E-4,0.007239532072244995,-0.021076932156306682,
